,timestamp,tweet,retweet_count,filter,TB_sscore,TB_subjectivity,GCL_sscore,GCL_smag,TB_sentiment,GCL_sentiment,manual
2,2021-05-20 20:13:36+00:00,  Bitcoin hashing (aka mining) energy usage is starting to exceed that of medium-sized countries. Almost impossible for small hashers to succeed without those massive economies of scale.,760,TRUE,-0.229166667,0.625,0.1,0.5,negative,positive,-1
5,2021-05-20 17:56:35+00:00," Yeah, I haven’t &amp; won’t sell any Doge",10320,TRUE,0,0,-0.5,0.5,neutral,negative,1
6,2021-05-20 17:53:25+00:00, A longtime Tesla supporter gave me the Doge dollar sticker at Giga Berlin,2477,TRUE,0,0,0.1,0.1,neutral,positive,1
12,2021-05-20 13:31:24+00:00,"  Currency is already digital! Decentralized crypto is an attempt to wrest power of currency dilution (pernicious form of taxation) &amp; capital controls from governments. That said, I sure hope the cure is better than the disease!

Mars/AI are essential to passing the great filter/s.",1197,TRUE,0.385,0.487777778,0.1,1.3,positive,positive,1
18,2021-05-20 10:41:00+00:00,How much is that Doge in the window? ,49661,TRUE,0.2,0.2,0,0,positive,neutral,1
26,2021-05-19 14:42:44+00:00,Tesla has 💎 🙌,58157,TRUE,0,0,0.5,0.5,neutral,positive,1
37,2021-05-17 05:56:52+00:00,"_Archive To clarify speculation, Tesla has not sold any Bitcoin",18524,TRUE,0,0,-0.5,0.5,neutral,negative,1
40,2021-05-16 18:24:49+00:00,"  Hey cryptocurrency “experts”, ever heard of PayPal? It’s possible … maybe … that I know than you realize about how money works.",7257,TRUE,0,1,-0.1,0.9,neutral,negative,-1
41,2021-05-16 18:17:17+00:00,"  Bitcoin is actually highly centralized, with supermajority controlled by handful of big mining (aka hashing) companies. 

A single coal mine in Xinjiang flooded, almost killing miners, and Bitcoin hash rate dropped 35%. Sound “decentralized” to you?

fortune.com/2021/04/20/bit…",7847,TRUE,0.122142857,0.313571429,-0.1,1.3,positive,negative,-1
42,2021-05-16 18:07:06+00:00," _saylor He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs",2135,TRUE,0.16,0.54,-0.3,0.3,positive,negative,-1
44,2021-05-16 17:21:24+00:00, Obnoxious threads like this make me want to go all in on Doge,17414,TRUE,0,0,0.7,0.7,neutral,positive,-1
49,2021-05-16 02:03:55+00:00,_elon  Only if Doge can’t do it. Big pain in the neck to create another one.,4455,TRUE,0,0.55,-0.6,1.2,neutral,negative,1
51,2021-05-16 01:20:45+00:00," Ideally, Doge speeds up block time 10X, increases block size 10X &amp; drops fee 100X. Then it wins hands down.",14212,TRUE,0.348148148,0.496296296,0.5,1.1,positive,positive,1
58,2021-05-13 22:45:16+00:00,Working with Doge devs to improve system transaction efficiency. Potentially promising.,87663,TRUE,0.2,0.5,0.2,0.4,positive,positive,1
60,2021-05-13 21:11:46+00:00,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal",35863,TRUE,0.133333333,0.779166667,-0.5,0.5,positive,negative,-1
64,2021-05-12 22:06:14+00:00,Tesla &amp; Bitcoin ,78687,TRUE,0,0,0,0,neutral,neutral,-1
74,2021-05-11 08:13:35+00:00,Do you want Tesla to accept Doge?,99292,TRUE,0,0,-0.2,0.2,neutral,negative,-1
84,2021-05-09 22:41:43+00:00,"SpaceX launching satellite Doge-1 to the moon next year

– Mission paid for in Doge
– 1st crypto in space
– 1st meme in space

To the mooooonnn!!

m.youtube.com/watch?v=s3NWyh…",119245,TRUE,0,0,0.1,0.4,neutral,positive,1
102,2021-05-07 04:24:20+00:00,"Cryptocurrency is promising, but please invest with caution! m.youtube.com/watch?v=u_U_dO…",39418,TRUE,0.25,0.5,-0.2,0.5,positive,negative,1
160,2021-04-28 06:20:47+00:00,"The Dogefather
SNL May 8",80289,TRUE,0,0,0.1,0.1,neutral,positive,1
175,2021-04-26 23:15:01+00:00," No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",13312,TRUE,0,0.3,-0.3,1.1,neutral,negative,1
249,2021-04-15 04:33:18+00:00,Doge Barking at the Moon ,50708,TRUE,0,0,0,0,neutral,neutral,1
250,2021-04-15 04:28:47+00:00, Doge Barking at the Moon – Miro ,2670,TRUE,0,0,0,0,neutral,neutral,1
380,2021-04-01 10:25:23+00:00,SpaceX is going to put a literal Dogecoin on the literal moon,53339,TRUE,0,0,-0.2,0.2,neutral,negative,1
439,2021-03-24 07:10:43+00:00,Pay by Bitcoin capability available outside US later this year,9238,TRUE,0.133333333,0.15,0,0,positive,neutral,1
440,2021-03-24 07:09:34+00:00,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",20371,TRUE,0.025,0.475,-0.2,0.4,positive,negative,1
441,2021-03-24 07:02:40+00:00,You can now buy a Tesla with Bitcoin,114655,TRUE,0,0,0.5,0.5,neutral,positive,1
485,2021-03-18 21:17:16+00:00, Sometimes it’s about Doge,3595,TRUE,0,0,-0.2,0.2,neutral,negative,1
493,2021-03-15 23:11:50+00:00, 420M Doge,5132,TRUE,0,0,0.3,0.3,neutral,positive,1
510,2021-03-13 23:51:05+00:00,"Why are you so dogematic, they ask",19474,TRUE,0,0,-0.7,0.7,neutral,negative,1
511,2021-03-13 23:46:16+00:00,"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",7884,TRUE,0.25,0.85,-0.2,0.2,positive,negative,1
512,2021-03-13 23:40:41+00:00,Doge day afternoon,18858,TRUE,0,0,0.1,0.1,neutral,positive,1
521,2021-03-12 18:58:22+00:00,"BTC (Bitcoin) is an anagram of
TBC(The Boring Company)
What a coincidence!",17646,TRUE,-1,1,0,0,negative,neutral,1
561,2021-03-06 04:40:30+00:00,Doge spelled backwards is Egod,38791,TRUE,0,0,0,0,neutral,neutral,1
596,2021-03-02 21:07:09+00:00," Very much so &amp; its leader shall be The Doge 
en.m.wikipedia.org/wiki/Doge",1662,TRUE,0.26,0.26,0.8,0.8,positive,positive,1
601,2021-03-02 17:50:44+00:00,Scammers &amp; crypto should get a room,16648,TRUE,0,0,0,0,neutral,neutral,-1
602,2021-03-02 08:36:34+00:00, 2022: Dogecoin is dumb,1996,TRUE,-0.375,0.5,-0.8,0.8,negative,negative,-1
